Valuation Date,Curve Name,Date,Value,Label
2014-07-19,AED-3ME,2018-07-19,0.01920154361532503,4Y
2014-07-19,AED-3ME,2017-07-19,0.01527520567937227,3Y
2014-07-19,AED-3ME,2015-01-19,0.006805139793252283,6M
2014-07-19,AED-3ME,2016-07-19,0.010916405039207933,2Y
2014-07-19,AED-3ME,2015-07-19,0.008262291263588219,1Y
2014-07-19,AED-3ME,2014-10-19,0.006959863485474999,3M
2014-07-19,AED-3ME,2024-07-19,0.034674380350506316,10Y
2014-07-19,AED-3ME,2014-08-19,0.0040548572591109135,1M
2014-07-21,AED-3ME,2021-07-21,0.028267364593234392,7Y
2014-07-21,AED-3ME,2015-04-21,0.006598516661871009,9M
2014-07-21,AED-3ME,2019-07-21,0.022818255848144536,5Y
2014-07-21,AED-3ME,2018-07-21,0.019379246602523097,4Y
2014-07-21,AED-3ME,2017-07-21,0.015484580425745915,3Y
2014-07-21,AED-3ME,2015-01-21,0.00680513979325242,6M
2014-07-21,AED-3ME,2016-07-21,0.011113509314660808,2Y
2014-07-21,AED-3ME,2015-07-21,0.008312005277256163,1Y
2014-07-21,AED-3ME,2014-10-21,0.006959863485474957,3M
2014-07-21,AED-3ME,2024-07-21,0.03465045876662622,10Y
2014-07-21,AED-3ME,2014-08-21,0.0040548572591112934,1M
2014-07-22,AED-3ME,2021-07-22,0.028092418759489615,7Y
2014-07-22,AED-3ME,2015-04-22,0.006566330289409972,9M
2014-07-22,AED-3ME,2019-07-22,0.02251717689661038,5Y
2014-07-22,AED-3ME,2018-07-22,0.019077438575328568,4Y
2014-07-22,AED-3ME,2017-07-22,0.015023217088774233,3Y
2014-07-22,AED-3ME,2015-01-22,0.0068051397932524325,6M
2014-07-22,AED-3ME,2016-07-22,0.010854440698192604,2Y
2014-07-22,AED-3ME,2015-07-22,0.008204481680584162,1Y
2014-07-22,AED-3ME,2014-10-22,0.006959863485475521,3M
2014-07-22,AED-3ME,2024-07-22,0.03445181179486363,10Y
2014-07-22,AED-3ME,2014-08-22,0.004054857259111598,1M
2014-07-23,AED-3ME,2021-07-23,0.02813895865657029,7Y
2014-07-23,AED-3ME,2015-04-23,0.006566330289409903,9M
2014-07-23,AED-3ME,2019-07-23,0.0224661762847895,5Y
2014-07-23,AED-3ME,2018-07-23,0.019129400857239597,4Y
2014-07-23,AED-3ME,2017-07-23,0.014896740174333269,3Y
2014-07-23,AED-3ME,2015-01-23,0.006805139793252412,6M
2014-07-23,AED-3ME,2016-07-23,0.010821540250258532,2Y
2014-07-23,AED-3ME,2015-07-23,0.008248118457095254,1Y
2014-07-23,AED-3ME,2014-10-23,0.006959863485475665,3M
2014-07-23,AED-3ME,2024-07-23,0.03456738037441556,10Y
2014-07-23,AED-3ME,2014-08-23,0.004054857259111265,1M
2014-07-24,AED-3ME,2021-07-24,0.0286250220096934,7Y
2014-07-24,AED-3ME,2015-04-24,0.006615120348282854,9M
2014-07-24,AED-3ME,2019-07-24,0.022958967121574404,5Y
2014-07-24,AED-3ME,2018-07-24,0.019517684795825323,4Y
2014-07-24,AED-3ME,2017-07-24,0.015260471713522666,3Y
2014-07-24,AED-3ME,2015-01-24,0.0068793360852064615,6M
2014-07-24,AED-3ME,2016-07-24,0.011056531897665632,2Y
2014-07-24,AED-3ME,2015-07-24,0.008183525270025697,1Y
2014-07-24,AED-3ME,2014-10-24,0.007095026112658994,3M
2014-07-24,AED-3ME,2024-07-24,0.03495406397731512,10Y
2014-07-24,AED-3ME,2014-08-24,0.004054857259111758,1M
2014-07-26,AED-3ME,2021-07-26,0.028331819788172452,7Y
2014-07-26,AED-3ME,2015-04-26,0.006647625610261204,9M
2014-07-26,AED-3ME,2019-07-26,0.022789772326637578,5Y
2014-07-26,AED-3ME,2018-07-26,0.019467422658579984,4Y
2014-07-26,AED-3ME,2017-07-26,0.015186392513671161,3Y
2014-07-26,AED-3ME,2015-01-26,0.0068798210286615865,6M
2014-07-26,AED-3ME,2016-07-26,0.010984804092283144,2Y
2014-07-26,AED-3ME,2015-07-26,0.00829977187069043,1Y
2014-07-26,AED-3ME,2014-10-26,0.007097869728130494,3M
2014-07-26,AED-3ME,2024-07-26,0.03454763990630831,10Y
2014-07-26,AED-3ME,2014-08-26,0.004098338035420962,1M
2014-08-04,AED-3ME,2021-08-04,0.02850883182997905,7Y
2014-08-04,AED-3ME,2015-05-04,0.006612439503050047,9M
2014-08-04,AED-3ME,2019-08-04,0.0226831807455593,5Y
2014-08-04,AED-3ME,2018-08-04,0.01913926700431836,4Y
2014-08-04,AED-3ME,2017-08-04,0.014896838398021483,3Y
2014-08-04,AED-3ME,2015-02-04,0.006831172756128126,6M
2014-08-04,AED-3ME,2016-08-04,0.010860612478330185,2Y
2014-08-04,AED-3ME,2015-08-04,0.008162024439515386,1Y
2014-08-04,AED-3ME,2014-11-04,0.00709502611265856,3M
2014-08-04,AED-3ME,2024-08-04,0.034891200410843454,10Y
2014-08-04,AED-3ME,2014-09-04,0.00405485725911148,1M
2014-08-05,AED-3ME,2021-08-05,0.028620969269709206,7Y
2014-08-05,AED-3ME,2015-05-05,0.006678834481550232,9M
2014-08-05,AED-3ME,2019-08-05,0.02293674562512614,5Y
2014-08-05,AED-3ME,2018-08-05,0.019387241357567742,4Y
2014-08-05,AED-3ME,2017-08-05,0.015151480151789057,3Y
2014-08-05,AED-3ME,2015-02-05,0.00687933608520599,6M
2014-08-05,AED-3ME,2016-08-05,0.01099773913092223,2Y
2014-08-05,AED-3ME,2015-08-05,0.00820757959922912,1Y
2014-08-05,AED-3ME,2014-11-05,0.007095026112658444,3M
2014-08-05,AED-3ME,2024-08-05,0.03484395818042628,10Y
2014-08-05,AED-3ME,2014-09-05,0.00405485725911198,1M
2014-08-06,AED-3ME,2021-08-06,0.028676242386716636,7Y
2014-08-06,AED-3ME,2015-05-06,0.006646531323081655,9M
2014-08-06,AED-3ME,2019-08-06,0.022839675596425184,5Y
2014-08-06,AED-3ME,2018-08-06,0.01924247842190744,4Y
2014-08-06,AED-3ME,2017-08-06,0.014884075133833205,3Y
2014-08-06,AED-3ME,2015-02-06,0.006879336085205984,6M
2014-08-06,AED-3ME,2016-08-06,0.010734706423403208,2Y
2014-08-06,AED-3ME,2015-08-06,0.008235561930194637,1Y
2014-08-06,AED-3ME,2014-11-06,0.007095026112658681,3M
2014-08-06,AED-3ME,2024-08-06,0.03510729524614028,10Y
2014-08-06,AED-3ME,2014-09-06,0.004054857259112039,1M
2014-08-07,AED-3ME,2021-08-07,0.028325270645349076,7Y
2014-08-07,AED-3ME,2015-05-07,0.006646319089770478,9M
2014-08-07,AED-3ME,2019-08-07,0.022553066411939503,5Y
2014-08-07,AED-3ME,2018-08-07,0.01911333747321391,4Y
